DAY,COUNTS
0,18.4
1,20.2
2,19.3
3,19.5
4,19.6
5,19.3
6,19.4
7,19.4
8,20.4
9,18.5
10,18.2
11,16.3
12,14.2
13,11.4
14,8.6
15,4.3
16,5.4
17,6.3
18,8.4
19,9.3
20,11.0
21,13.7
22,17.1
23,18.7
24,18.7
25,19.3
26,18.0
27,17.9
28,19.1
29,20.9
30,21.0
31,22.7
32,21.5
33,22.6
34,20.7
35,21.4
36,23.3
37,26.3
38,25.3
39,20.7
40,19.7
41,20.6
42,20.6
43,24.4
44,26.8
45,25.0
46,21.8
47,22.0
48,20.3
49,20.9
50,26.1
51,25.7
52,23.9
53,21.6
54,20.8
55,21.9
56,20.6
57,24.4
58,25.1
59,22.2
60,20.6
61,20.5
62,20.3
63,21.0
64,25.1
65,26.5
66,23.6
67,21.6
68,21.0
69,19.6
70,20.3
71,24.1
72,25.6
73,26.0
74,21.8
75,20.8
76,19.7
77,22.7
78,28.1
79,25.6
80,21.5
81,23.2
82,22.6
83,20.8
84,23.3
85,22.3
86,22.1
87,20.1
88,20.5
89,20.8
90,20.9
91,24.2
92,24.4
93,20.5
94,21.3
95,20.3
96,19.8
97,20.6
98,23.8
99,25.4
100,25.0
101,20.5
102,19.3
103,20.2
104,21.6
105,29.0
106,25.5
107,22.3
108,28.2
109,22.4
110,19.2
111,20.6
112,22.3
113,23.3
114,22.4
115,20.3
116,19.6
117,19.3
118,19.4
119,23.0
120,23.1
121,23.0
122,20.0
123,14.6
124,19.1
125,19.0
126,23.0
127,24.4
128,23.8
129,20.0
130,19.6
131,19.1
132,19.5
133,20.9
134,25.4
135,21.3
136,18.1
137,25.2
138,20.8
139,19.5
140,20.9
141,20.6
142,19.5
143,19.5
144,21.4
145,20.8
146,19.8
147,23.2
148,22.8
149,22.0
150,21.4
151,20.5
152,20.5
153,20.6
154,23.4
155,22.6
156,21.6
157,21.4
158,20.6
159,20.5
160,20.1
161,22.4
162,21.0
163,21.1
164,22.6
165,21.7
166,21.7
167,22.0
168,22.9
169,20.4
170,19.9
171,21.6
172,20.6
173,20.6
174,20.4
175,22.0
176,19.8
177,20.7
178,21.5
179,20.1
180,20.0
181,19.7
182,20.5
183,19.6
184,19.4
185,20.6
186,19.5
187,19.8
188,19.5
189,20.3
190,19.4
191,18.5
192,19.9
193,19.6
194,19.5
195,20.0
196,21.0
197,20.2
198,19.7
199,21.0
200,19.3
201,19.0
202,19.8
203,20.5
204,18.6
205,18.6
206,20.4
207,20.3
208,19.0
209,19.4
210,20.4
211,19.0
212,20.9
213,21.3
214,20.1
215,20.0
216,19.7
217,21.5
218,19.6
219,21.4
220,21.5
221,20.4
222,20.3
223,20.2
224,20.9
225,21.9
226,22.6
227,23.1
228,20.0
229,20.1
230,21.0
231,23.2
232,23.9
233,22.8
234,20.5
235,19.5
236,20.5
237,20.7
238,23.8
239,23.4
240,23.6
241,21.3
242,20.2
243,19.7
244,19.6
245,23.3
246,24.4
247,24.0
248,20.2
249,19.2
250,19.1
251,19.3
252,22.6
253,24.2
254,23.2
255,19.9
256,19.5
257,19.6
258,21.1
259,23.3
